symbol,name,market,latestClosingDate,c,c63,c126,c189,c252,is_valid
2152.T,幼児活動研究会,スタンダード（内国株式）,1970-01-01,1223.0,1227.0,1230.0,1138.0,1146.0,1.0
2153.T,Ｅ・Ｊホールディングス,プライム（内国株式）,1970-01-01,1693.0,1522.0,1479.0,1279.0,1310.0,1.0
2154.T,オープンアップグループ,プライム（内国株式）,1970-01-01,2008.0,1999.0,1935.0,1820.0,1644.0,1.0
2156.T,セーラー広告,スタンダード（内国株式）,1970-01-01,322.0,304.0,290.0,299.0,298.0,1.0
2157.T,コシダカホールディングス,プライム（内国株式）,1970-01-01,1369.0,1163.0,948.0,1110.0,820.0,1.0
2158.T,ＦＲＯＮＴＥＯ,グロース（内国株式）,1970-01-01,661.0,674.0,640.0,960.0,795.0,1.0
2160.T,ジーエヌアイグループ,グロース（内国株式）,1970-01-01,2132.0,1114.0,1066.0,1438.0,1554.0,1.0
2162.T,ｎｍｓ　ホールディングス,スタンダード（内国株式）,1970-01-01,445.0,493.0,494.0,254.0,250.0,1.0
2163.T,アルトナー,プライム（内国株式）,1970-01-01,1724.0,1533.0,1082.0,1038.0,962.0,1.0
2164.T,地域新聞社,グロース（内国株式）,1970-01-01,424.0,346.0,409.0,401.0,529.0,1.0
2168.T,パソナグループ,プライム（内国株式）,1970-01-01,1662.0,1766.0,1931.0,1986.0,2038.0,1.0
2169.T,ＣＤＳ,スタンダード（内国株式）,1970-01-01,1726.0,1780.0,1820.0,1776.0,1757.0,1.0
2170.T,リンクアンドモチベーション,プライム（内国株式）,1970-01-01,479.0,428.0,543.0,681.0,643.0,1.0
2173.T,博展,グロース（内国株式）,1970-01-01,637.0,713.0,745.0,659.0,788.0,1.0
2175.T,エス・エム・エス,プライム（内国株式）,1970-01-01,2840.5,2989.0,3280.0,3660.0,2996.0,1.0
2179.T,成学社,スタンダード（内国株式）,1970-01-01,711.0,708.0,749.0,695.0,703.0,1.0
2180.T,サニーサイドアップグループ,プライム（内国株式）,1970-01-01,773.0,694.0,597.0,605.0,612.0,1.0
2181.T,パーソルホールディングス,プライム（内国株式）,1970-01-01,2532.5,2750.0,2735.0,3100.0,2785.0,1.0
2183.T,リニカル,プライム（内国株式）,1970-01-01,725.0,775.0,730.0,718.0,731.0,1.0
2185.T,シイエム・シイ,スタンダード（内国株式）,1970-01-01,1355.0,1384.0,1313.0,1145.0,1145.0,1.0
2186.T,ソーバル,スタンダード（内国株式）,1970-01-01,1030.0,1047.0,1055.0,1010.0,1010.0,1.0
2193.T,クックパッド,スタンダード（内国株式）,1970-01-01,165.0,178.0,224.0,203.0,212.0,1.0
2195.T,アミタホールディングス,グロース（内国株式）,1970-01-01,781.0,811.0,1027.0,1235.0,1020.0,1.0
2196.T,エスクリ,プライム（内国株式）,1970-01-01,368.0,369.0,350.0,340.0,365.0,1.0
2198.T,アイ・ケイ・ケイホールディングス,プライム（内国株式）,1970-01-01,678.0,651.0,659.0,642.0,598.0,1.0
2201.T,森永製菓,プライム（内国株式）,1970-01-01,5336.0,4462.0,3915.0,3595.0,3875.0,1.0
2204.T,中村屋,プライム（内国株式）,1970-01-01,3120.0,3085.0,3070.0,3080.0,3080.0,1.0
2206.T,江崎グリコ,プライム（内国株式）,1970-01-01,3888.0,3754.0,3425.0,3570.0,3565.0,1.0
2207.T,名糖産業,プライム（内国株式）,1970-01-01,1640.0,1627.0,1702.0,1600.0,1643.0,1.0
2208.T,ブルボン,スタンダード（内国株式）,1970-01-01,2235.0,2120.0,2111.0,2106.0,2129.0,1.0
2209.T,井村屋グループ,プライム（内国株式）,1970-01-01,2345.0,2232.0,2234.0,2198.0,2226.0,1.0
2211.T,不二家,プライム（内国株式）,1970-01-01,2464.0,2503.0,2432.0,2584.0,2345.0,1.0
2212.T,山崎製パン,プライム（内国株式）,1970-01-01,2783.5,2044.0,1569.0,1574.0,1658.0,1.0
2215.T,第一屋製パン,スタンダード（内国株式）,1970-01-01,404.0,393.0,406.0,402.0,467.0,1.0
2216.T,カンロ,スタンダード（内国株式）,1970-01-01,1793.0,1935.0,1152.0,1132.0,884.0,1.0
2217.T,モロゾフ,プライム（内国株式）,1970-01-01,3705.0,3720.0,3500.0,3445.0,3570.0,1.0
2220.T,亀田製菓,プライム（内国株式）,1970-01-01,4485.0,4210.0,4270.0,4290.0,4470.0,1.0
2221.T,岩塚製菓,スタンダード（内国株式）,1970-01-01,5190.0,4815.0,4915.0,4150.0,4090.0,1.0
2222.T,寿スピリッツ,プライム（内国株式）,1970-01-01,11840.0,10850.0,9060.0,7560.0,7850.0,1.0
2224.T,コモ,スタンダード（内国株式）,1970-01-01,2739.0,2718.0,2771.0,2718.0,2680.0,1.0
2226.T,湖池屋,スタンダード（内国株式）,1970-01-01,7500.0,5710.0,5370.0,5350.0,5380.0,1.0
2229.T,カルビー,プライム（内国株式）,1970-01-01,2907.0,2780.0,2678.0,2993.0,2728.0,1.0
2264.T,森永乳業,プライム（内国株式）,1970-01-01,5987.0,5074.0,4710.0,4380.0,4100.0,1.0
2266.T,六甲バター,プライム（内国株式）,1970-01-01,1423.0,1344.0,1359.0,1363.0,1406.0,1.0
2267.T,ヤクルト本社,プライム（内国株式）,1970-01-01,7625.0,9340.0,9450.0,8430.0,8050.0,1.0
2268.T,Ｂ－Ｒ　サーティワン　アイスクリーム,スタンダード（内国株式）,1970-01-01,4140.0,4135.0,4035.0,4085.0,4025.0,1.0
2269.T,明治ホールディングス,プライム（内国株式）,1970-01-01,3705.0,3174.0,6230.0,6620.0,6570.0,1.0
2270.T,雪印メグミルク,プライム（内国株式）,1970-01-01,2397.0,1897.0,1819.0,1727.0,1677.0,1.0
2281.T,プリマハム,プライム（内国株式）,1970-01-01,2545.0,2172.0,2195.0,2047.0,2116.0,1.0
2282.T,日本ハム,プライム（内国株式）,1970-01-01,4580.0,3852.0,3755.0,3670.0,3950.0,1.0
2286.T,林兼産業,スタンダード（内国株式）,1970-01-01,552.0,486.0,495.0,494.0,469.0,1.0
2288.T,丸大食品,プライム（内国株式）,1970-01-01,1727.0,1490.0,1524.0,1407.0,1532.0,1.0
2291.T,福留ハム,スタンダード（内国株式）,1970-01-01,1474.0,1474.0,1569.0,1513.0,1620.0,1.0
2292.T,Ｓ　Ｆｏｏｄｓ,プライム（内国株式）,1970-01-01,3360.0,3160.0,2823.0,2850.0,2906.0,1.0
2293.T,滝沢ハム,スタンダード（内国株式）,1970-01-01,3035.0,2975.0,3045.0,3000.0,3000.0,1.0
2294.T,柿安本店,プライム（内国株式）,1970-01-01,2567.0,2325.0,2053.0,2128.0,2261.0,1.0
2296.T,伊藤ハム米久ホールディングス,プライム（内国株式）,1970-01-01,810.0,707.0,723.0,674.0,665.0,1.0
2300.T,きょくとう,スタンダード（内国株式）,1970-01-01,487.0,484.0,456.0,465.0,437.0,1.0
2301.T,学情,プライム（内国株式）,1970-01-01,1889.0,1779.0,1468.0,1450.0,1154.0,1.0
2303.T,ドーン,スタンダード（内国株式）,1970-01-01,1973.0,2020.0,2185.0,1818.0,1819.0,1.0
2304.T,ＣＳＳホールディングス,スタンダード（内国株式）,1970-01-01,850.0,922.0,413.0,388.0,323.0,1.0
2305.T,スタジオアリス,プライム（内国株式）,1970-01-01,2108.0,2160.0,2079.0,2067.0,2154.0,1.0
2307.T,クロスキャット,プライム（内国株式）,1970-01-01,1081.0,1137.0,1270.0,1524.0,1377.0,1.0
2309.T,シミックホールディングス,プライム（内国株式）,1970-01-01,1769.0,2013.0,1892.0,1671.0,1626.0,1.0
2311.T,エプコ,プライム（内国株式）,1970-01-01,746.0,741.0,725.0,705.0,645.0,1.0
2315.T,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,スタンダード（内国株式）,1970-01-01,59.0,61.0,68.0,106.0,133.0,1.0
2317.T,システナ,プライム（内国株式）,1970-01-01,277.0,308.0,321.0,415.0,422.0,1.0
2321.T,ソフトフロントホールディングス,グロース（内国株式）,1970-01-01,97.0,110.0,89.0,89.0,93.0,1.0
2323.T,ｆｏｎｆｕｎ,スタンダード（内国株式）,1970-01-01,511.0,445.0,375.0,351.0,352.0,1.0
2325.T,ＮＪＳ,プライム（内国株式）,1970-01-01,2979.0,2561.0,2258.0,2011.0,1950.0,1.0
2326.T,デジタルアーツ,プライム（内国株式）,1970-01-01,4825.0,5860.0,5250.0,6390.0,6200.0,1.0
2327.T,日鉄ソリューションズ,プライム（内国株式）,1970-01-01,4000.0,4190.0,3590.0,3360.0,3715.0,1.0
2329.T,東北新社,スタンダード（内国株式）,1970-01-01,1050.0,929.0,692.0,640.0,659.0,1.0
2330.T,フォーサイド,スタンダード（内国株式）,1970-01-01,81.0,73.0,80.0,68.0,75.0,1.0
2331.T,綜合警備保障,プライム（内国株式）,1970-01-01,944.9000244140625,785.2000122070312,709.0,707.0,719.0,1.0
2332.T,クエスト,スタンダード（内国株式）,1970-01-01,1225.0,1407.0,1336.0,1195.0,1176.0,1.0
2334.T,イオレ,グロース（内国株式）,1970-01-01,2068.0,1501.0,1230.0,1190.0,854.0,1.0
2335.T,キューブシステム,プライム（内国株式）,1970-01-01,1168.0,1179.0,1176.0,1000.0,1020.0,1.0
2337.T,いちご,プライム（内国株式）,1970-01-01,306.0,273.0,290.0,293.0,298.0,1.0
2338.T,クオンタムソリューションズ,スタンダード（内国株式）,1970-01-01,801.0,790.0,870.0,893.0,856.0,1.0
2340.T,極楽湯ホールディングス,スタンダード（内国株式）,1970-01-01,440.0,324.0,237.0,220.0,232.0,1.0
2341.T,アルバイトタイムス,スタンダード（内国株式）,1970-01-01,144.0,139.0,124.0,135.0,139.0,1.0
2342.T,トランスジェニック,グロース（内国株式）,1970-01-01,292.0,302.0,337.0,340.0,347.0,1.0
2344.T,平安レイサービス,スタンダード（内国株式）,1970-01-01,776.0,762.0,740.0,752.0,771.0,1.0
2345.T,クシム,スタンダード（内国株式）,1970-01-01,310.0,396.0,571.0,416.0,614.0,1.0
2349.T,エヌアイデイ,スタンダード（内国株式）,1970-01-01,1590.0,1594.0,1785.0,1818.0,1518.0,1.0
2351.T,ＡＳＪ,グロース（内国株式）,1970-01-01,486.0,518.0,496.0,539.0,545.0,1.0
2353.T,日本駐車場開発,プライム（内国株式）,1970-01-01,222.0,238.0,267.0,232.0,159.0,1.0
2354.T,ＹＥ　ＤＩＧＩＴＡＬ,スタンダード（内国株式）,1970-01-01,701.0,454.0,447.0,404.0,474.0,1.0
2359.T,コア,プライム（内国株式）,1970-01-01,1755.0,1719.0,1566.0,1437.0,1430.0,1.0
2370.T,メディネット,グロース（内国株式）,1970-01-01,54.0,69.0,72.0,75.0,84.0,1.0
2371.T,カカクコム,プライム（内国株式）,1970-01-01,1781.0,2076.0,1958.0,2334.0,2529.0,1.0
2372.T,アイロムグループ,プライム（内国株式）,1970-01-01,1836.0,1920.0,1891.0,2240.0,2470.0,1.0
2373.T,ケア２１,スタンダード（内国株式）,1970-01-01,689.0,643.0,707.0,748.0,806.0,1.0
2374.T,セントケア・ホールディング,プライム（内国株式）,1970-01-01,823.0,760.0,790.0,848.0,845.0,1.0
2375.T,ギグワークス,スタンダード（内国株式）,1970-01-01,254.0,278.0,320.0,310.0,375.0,1.0
2376.T,サイネックス,スタンダード（内国株式）,1970-01-01,640.0,593.0,583.0,560.0,598.0,1.0
2378.T,ルネサンス,プライム（内国株式）,1970-01-01,939.0,916.0,928.0,881.0,940.0,1.0
2379.T,ディップ,プライム（内国株式）,1970-01-01,3575.0,3530.0,3675.0,3875.0,3405.0,1.0
2384.T,ＳＢＳホールディングス,プライム（内国株式）,1970-01-01,3050.0,3140.0,3220.0,2843.0,2920.0,1.0
2385.T,総医研ホールディングス,グロース（内国株式）,1970-01-01,235.0,283.0,258.0,307.0,353.0,1.0
