symbol,name,market,latestClosingDate
2385.T,総医研ホールディングス,グロース（内国株式）,1970-01-01
2388.T,ウェッジホールディングス,グロース（内国株式）,1970-01-01
2389.T,デジタルホールディングス,プライム（内国株式）,1970-01-01
2391.T,プラネット,スタンダード（内国株式）,1970-01-01
2393.T,日本ケアサプライ,スタンダード（内国株式）,1970-01-01
2395.T,新日本科学,プライム（内国株式）,1970-01-01
2397.T,ＤＮＡチップ研究所,スタンダード（内国株式）,1970-01-01
2402.T,アマナ,グロース（内国株式）,1970-01-01
2404.T,鉄人化計画,スタンダード（内国株式）,1970-01-01
2408.T,ＫＧ情報,スタンダード（内国株式）,1970-01-01
2410.T,キャリアデザインセンター,プライム（内国株式）,1970-01-01
2411.T,ゲンダイエージェンシー,スタンダード（内国株式）,1970-01-01
2412.T,ベネフィット・ワン,プライム（内国株式）,1970-01-01
2413.T,エムスリー,プライム（内国株式）,1970-01-01
2415.T,ヒューマンホールディングス,スタンダード（内国株式）,1970-01-01
2418.T,ツカダ・グローバルホールディング,プライム（内国株式）,1970-01-01
2424.T,ブラス,プライム（内国株式）,1970-01-01
2425.T,ケアサービス,スタンダード（内国株式）,1970-01-01
2427.T,アウトソーシング,プライム（内国株式）,1970-01-01
2428.T,ウェルネット,プライム（内国株式）,1970-01-01
2429.T,ワールドホールディングス,プライム（内国株式）,1970-01-01
2432.T,ディー・エヌ・エー,プライム（内国株式）,1970-01-01
2433.T,博報堂ＤＹホールディングス,プライム（内国株式）,1970-01-01
2435.T,シダー,スタンダード（内国株式）,1970-01-01
2436.T,共同ピーアール,スタンダード（内国株式）,1970-01-01
2437.T,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,スタンダード（内国株式）,1970-01-01
2438.T,アスカネット,グロース（内国株式）,1970-01-01
2440.T,ぐるなび,プライム（内国株式）,1970-01-01
2445.T,タカミヤ,プライム（内国株式）,1970-01-01
2449.T,プラップジャパン,スタンダード（内国株式）,1970-01-01
2453.T,ジャパンベストレスキューシステム,プライム（内国株式）,1970-01-01
2454.T,オールアバウト,スタンダード（内国株式）,1970-01-01
2459.T,アウンコンサルティング,スタンダード（内国株式）,1970-01-01
2461.T,ファンコミュニケーションズ,プライム（内国株式）,1970-01-01
2462.T,ライク,プライム（内国株式）,1970-01-01
2464.T,ビジネス・ブレークスルー,プライム（内国株式）,1970-01-01
2468.T,フュートレック,スタンダード（内国株式）,1970-01-01
2469.T,ヒビノ,スタンダード（内国株式）,1970-01-01
2471.T,エスプール,プライム（内国株式）,1970-01-01
2475.T,ＷＤＢホールディングス,プライム（内国株式）,1970-01-01
2477.T,手間いらず,プライム（内国株式）,1970-01-01
2479.T,ジェイテック,グロース（内国株式）,1970-01-01
2480.T,システム・ロケーション,スタンダード（内国株式）,1970-01-01
2481.T,タウンニュース社,スタンダード（内国株式）,1970-01-01
2483.T,翻訳センター,スタンダード（内国株式）,1970-01-01
2484.T,出前館,スタンダード（内国株式）,1970-01-01
2485.T,ティア,スタンダード（内国株式）,1970-01-01
2487.T,ＣＤＧ,スタンダード（内国株式）,1970-01-01
2488.T,ＪＴＰ,スタンダード（内国株式）,1970-01-01
2489.T,アドウェイズ,プライム（内国株式）,1970-01-01
2491.T,バリューコマース,プライム（内国株式）,1970-01-01
2492.T,インフォマート,プライム（内国株式）,1970-01-01
2493.T,イーサポートリンク,スタンダード（内国株式）,1970-01-01
2497.T,ユナイテッド,グロース（内国株式）,1970-01-01
2498.T,オリエンタルコンサルタンツホールディングス,スタンダード（内国株式）,1970-01-01
2499.T,日本和装ホールディングス,スタンダード（内国株式）,1970-01-01
2501.T,サッポロホールディングス,プライム（内国株式）,1970-01-01
2502.T,アサヒグループホールディングス,プライム（内国株式）,1970-01-01
2503.T,キリンホールディングス,プライム（内国株式）,1970-01-01
2531.T,宝ホールディングス,プライム（内国株式）,1970-01-01
2533.T,オエノンホールディングス,プライム（内国株式）,1970-01-01
2540.T,養命酒製造,プライム（内国株式）,1970-01-01
2573.T,北海道コカ・コーラボトリング,スタンダード（内国株式）,1970-01-01
2579.T,コカ・コーラ　ボトラーズジャパンホールディングス,プライム（内国株式）,1970-01-01
2585.T,ライフドリンク　カンパニー,プライム（内国株式）,1970-01-01
2586.T,フルッタフルッタ,グロース（内国株式）,1970-01-01
2587.T,サントリー食品インターナショナル,プライム（内国株式）,1970-01-01
2588.T,プレミアムウォーターホールディングス,スタンダード（内国株式）,1970-01-01
2590.T,ダイドーグループホールディングス,プライム（内国株式）,1970-01-01
2593.T,伊藤園,プライム（内国株式）,1970-01-01
25935.T,伊藤園 優先株式,プライム（内国株式）,1970-01-01
2594.T,キーコーヒー,プライム（内国株式）,1970-01-01
2597.T,ユニカフェ,スタンダード（内国株式）,1970-01-01
2599.T,ジャパンフーズ,スタンダード（内国株式）,1970-01-01
2602.T,日清オイリオグループ,プライム（内国株式）,1970-01-01
2607.T,不二製油グループ本社,プライム（内国株式）,1970-01-01
2612.T,かどや製油,スタンダード（内国株式）,1970-01-01
2613.T,Ｊ－オイルミルズ,プライム（内国株式）,1970-01-01
2651.T,ローソン,プライム（内国株式）,1970-01-01
2652.T,まんだらけ,スタンダード（内国株式）,1970-01-01
2653.T,イオン九州,スタンダード（内国株式）,1970-01-01
2654.T,アスモ,スタンダード（内国株式）,1970-01-01
2656.T,ベクターホールディングス,スタンダード（内国株式）,1970-01-01
2659.T,サンエー,プライム（内国株式）,1970-01-01
2664.T,カワチ薬品,プライム（内国株式）,1970-01-01
2666.T,オートウェーブ,スタンダード（内国株式）,1970-01-01
2667.T,イメージ　ワン,スタンダード（内国株式）,1970-01-01
2668.T,タビオ,スタンダード（内国株式）,1970-01-01
2669.T,カネ美食品,スタンダード（内国株式）,1970-01-01
2670.T,エービーシー・マート,プライム（内国株式）,1970-01-01
2673.T,夢みつけ隊,スタンダード（内国株式）,1970-01-01
2674.T,ハードオフコーポレーション,プライム（内国株式）,1970-01-01
2676.T,高千穂交易,プライム（内国株式）,1970-01-01
2678.T,アスクル,プライム（内国株式）,1970-01-01
2681.T,ゲオホールディングス,プライム（内国株式）,1970-01-01
2683.T,魚喜,スタンダード（内国株式）,1970-01-01
