symbol,name,market,latestClosingDate,is_valid,four_quarters_eps,three_quarters_eps,two_quarters_eps,latest_quarter_eps,four_quarters_revenue,three_quarters_revenue,two_quarters_revenue,latest_quarter_revenue,four_years_eps,three_years_eps,two_years_eps,latest_year_eps,latest_year_roe
5393.T,ニチアス,プライム（内国株式）,2023-06-30,1.0,83.94,89.78,59.0,93.69,58890000000.0,62807000000.0,61802000000.0,59177000000.0,216.39,158.01,324.93,315.55,12.41
5395.T,理研コランダム,スタンダード（内国株式）,2023-06-30,1.0,-13.56,-68.08,46.22,20.03,1036661000.0,1004726000.0,1056237000.0,1053772000.0,-617.37,-115.47,337.58,782.51,14.97
5401.T,日本製鉄,プライム（内国株式）,2023-06-30,1.0,148.79,157.21,186.12,186.32,1955225000000.0,2087275000000.0,2013904000000.0,2199786000000.0,-454.07,-34.13,670.64,730.3,16.6
5406.T,神戸製鋼所,プライム（内国株式）,2023-06-30,1.0,17.59,49.2,63.22,64.21,626850000000.0,614981000000.0,687870000000.0,598689000000.0,-186.65,63.77,151.59,183.09,7.94
5408.T,中山製鋼所,プライム（内国株式）,2023-06-30,1.0,45.64,45.55,28.3,45.74,45477000000.0,48080000000.0,47161000000.0,47430000000.0,46.18,37.4,76.33,162.13,10.56
5410.T,合同製鐵,プライム（内国株式）,2023-06-30,1.0,174.51,251.27,276.87,245.9,55846000000.0,60690000000.0,58193000000.0,60808000000.0,434.12,290.87,-64.86,729.53,11.17
5411.T,ＪＦＥホールディングス,プライム（内国株式）,2023-06-30,1.0,64.14,33.66,30.41,97.0,1310735000000.0,1344252000000.0,1360206000000.0,1262086000000.0,-321.83,-35.59,468.82,264.67,7.67
5423.T,東京製鐵,プライム（内国株式）,2023-06-30,1.0,76.44,69.22,9.36,57.04,87761000000.0,93938000000.0,88895000000.0,102755000000.0,88.96,37.98,205.96,198.94,17.21
5440.T,共英製鋼,プライム（内国株式）,2023-06-30,1.0,44.72,49.2,153.97,87.84,91778000000.0,88494000000.0,84383000000.0,76625000000.0,255.89,195.73,140.81,291.95,7.29
5444.T,大和工業,プライム（内国株式）,2023-06-30,1.0,305.17,236.05,187.34,281.71,47781000000.0,44347000000.0,41318000000.0,42527000000.0,218.15,73.65,614.11,1004.88,14.82
5445.T,東京鐵鋼,プライム（内国株式）,2023-06-30,1.0,122.15,132.18,138.6,190.17,19106000000.0,20597000000.0,19551000000.0,19655000000.0,426.36,531.75,-504.41,390.48,7.93
